Item Code;Item Description;Part No.;Part Description;Model;Unit Of Measurement;Spare Part Type;Location;Specify;Part Category;Is Expiry date Required;Min Nos;Max Nos; Minimum Price Per Nos (RM) ; Maximum Price Per Nos (RM) ;Brand;Status;Expiry Age (In Month);Current Stock Level
BP0026;Solenoids/ Valves/ Gauges;01-0802-0503-035;Fresenius 4008S Reliief valve completed;;Unit;One Off;Company Site Office;;Biomedical;Yes;1;5; MYR 179,00 ; MYR 197,00 ;Fresenius;Active;0;0
BP0025;Sensors/ Detectors;01-1603-1710-003;SPO2 REUSABLE SENSOR PEDIATRIC LNCS DCIP;Radical 7;Unit;One Off;Company Site Office;;Biomedical;Yes;2;5; MYR 700,00 ; MYR 750,00 ;MASIMO;Active;0;4
BP0021;Power Cords/ Adaptors (or any part of it);01-0322-0101-005;COMMON ITEM POWER CORD 3 MTR;Common;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;1;50; MYR 19,50 ; MYR 37,00 ;Common;Active;0;21
BP0011;Equipment Specific Parts;01-1700-0000-001;EQUIPMENT SPECIFIC PARTS (IN HOUSE);Trinias C12/F12;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;50; MYR 10.001,00 ; MYR 100.000,00 ;Shimadzu;Active;;5
BP0014;Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes;01-1909-0205-002;Male & Female Connector;Dekamet MK3;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;10;50; MYR 2,00 ; MYR 2,50 ;Accoson;Active;0;46
BP0006;Cuffs;01-0203-0102-010;X-Large Cuff Adult 1 TB;;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;10;50; MYR 10,00 ; MYR 13,00 ;Critikon/Velcro;Active;0;23
BP0012;Filters;01-0802-0203-001;Diacap Ultra DF - Online Filter;7102001;Unit;One Off;Company Site Office;;Biomedical;Yes;10;20; MYR 300,00 ; MYR 370,00 ;B.Braun;Active;0;10
BP0003;Bulbs/ Lamps;01-1201-0103-005;Lamp for Laryngoscope;Welch Allyn;Unit;Just In Time;Company Site Office;;Biomedical;Yes;3;10; MYR 26,00 ; MYR 60,00 ;Welch Allyn;Active;0;5
BP0001;Batteries/ UPS;01-1909-0102-005;Rechargeable Battery 12V 700Mah;5200;Unit;Just In Time;Centralized;;Biomedical;Yes;5;20; MYR 150,00 ; MYR 200,00 ;Top;Active;0;11
BP0004;Cables/ Lead Wires (or any part of it);01-0503-0102-012;NIHON KOHDEN CHEST ELECTROLUDE ADULT COMPLEX;6851k;Unit;One Off;Company Site Office;;Biomedical;Yes;0;100; MYR 60,00 ; MYR 92,00 ;Nihon Kohden;Active;0;16
BP0003;Bulbs/ Lamps;01-1902-0601-001;BULB 6V 20W;Sl-D Series;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;1;10; MYR 165,00 ; MYR 241,50 ;Topcon;Active;0;1
BP0003;Bulbs/ Lamps;01-1502-0101-008;Bulb WELCH ALLYN 03100;Welch Allyn;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;1;30; MYR 35,00 ; MYR 55,20 ;Welch Allyn;Active;0;2
BP0003;Bulbs/ Lamps;01-1503-0301-001;3.5v Streak Lamp 08200;71670;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;1;15; MYR 35,00 ; MYR 69,00 ;Welch Allyn;Active;0;9
BP0001;Batteries/ UPS;01-2206-0101-001;BATTERY SERVO-I MARQUET;Servo-i;Unit;Just In Time;Centralized;;Biomedical;Yes;0;20; MYR 1.200,00 ; MYR 1.610,00 ;;Active;0;1
BP0001;Batteries/ UPS;01-1604-2602-001;BATTERY LITHIUM ION;;Unit;Just In Time;Centralized;;Biomedical;Yes;0;1; MYR 650,00 ; MYR 1.035,00 ;PHILIPS;Active;0;4
BP0004;Cables/ Lead Wires (or any part of it);01-1604-2607-001;Transpac IV Cable HP PHILIPS;GE;Unit;Just In Time;Company Site Office;;Biomedical;Yes;1;100; MYR 250,00 ; MYR 500,00 ;Philips;Active;0;4
BP0004;Cables/ Lead Wires (or any part of it);01-1604-2603-001;SPO2 Adult Finger Clip Sensor M1196A;SureSigns VSi;Unit;Just In Time;Company Site Office;;Biomedical;Yes;2;5; MYR 300,00 ; MYR 700,00 ;Philips;Active;0;0
BP0001;Batteries/ UPS;01-1909-0902-001;Battery 6v 2200 mah;Injectomat Agilia;Unit;One Off;Company Site Office;;Biomedical;Yes;1;30; MYR 140,00 ; MYR 500,00 ;Fresenius;Active;0;0
BP0003;Bulbs/ Lamps;01-1203-0201-001;300 Watts Xenon Lamp;;Unit;Just In Time;Company Site Office;;Biomedical;Yes;2;5; MYR 1.330,00 ; MYR 1.667,50 ;Olympus;Active;0;0
BP0006;Cuffs;01-1601-1301-007;CUFF S/H ADULT (PHILIPS);V24 (Pm);Unit;One Off;Company Site Office;;Biomedical;Yes;0;20; MYR 90,00 ; MYR 300,00 ;AGILENT;Active;0;13
BP0025;Sensors/ Detectors;01-2202-1402-001;Oxygen Sensor;Servo-i;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;1;9; MYR 700,00 ; MYR 1.380,00 ;;Active;0;0
BP0004;Cables/ Lead Wires (or any part of it);01-0502-0106-001;POWER CORD 5 METER 3 PIN;;Unit;Just In Time;Company Site Office;;Biomedical;Yes;0;30; MYR 27,50 ; MYR 50,00 ;Erbe;Active;0;1
BP0011;Equipment Specific Parts;01-0909-0200-002;Power Board;Or-1500h;Unit;One Off;Company Site Office;;Biomedical;Yes;5;10; MYR 720,00 ; MYR 1.000,00 ;;Active;0;2
BP0004;Cables/ Lead Wires (or any part of it);01-1604-2604-002;Cable 5 leadset grabber M1971A;SureSigns VM4;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;5;10; MYR 480,00 ; MYR 715,00 ;Philips;Active;0;1
BP0011;Equipment Specific Parts;01-1700-0000-002;MAINTAINANCE SPARE PART (IN HOUSE);;Unit;One Off;Company Site Office;;Biomedical;Yes;1;50; MYR 7,00 ; MYR 22.000,00 ;;Active;0;3
BP0006;Cuffs;01-0203-0301-016;Cuff Connector Female;Bp8800;Unit;Just In Time;Company Site Office;;Biomedical;Yes;5;30; MYR 3,00 ; MYR 7,00 ;COLIN;Active;0;3
BP0012;Filters;01-1805-0101-003;Cotton Filter-20 Inch;;Unit;Just In Time;Company Site Office;;Biomedical;Yes;5;10; MYR 15,00 ; MYR 32,20 ;Waterman;Active;0;20
BP0004;Cables/ Lead Wires (or any part of it);01-0203-0902-002;MINDRAY SPO2 Extension Cable, Sensor 2.4m (0010-20-42594);Pm 600;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;1;10; MYR 110,00 ; MYR 120,00 ;Mindray;Active;0;23
BP0025;Sensors/ Detectors;01-2202-0302-001;SIEMENS SERVO 9000 OXYGEN SENSOR OOM202;Sv300;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;1;15; MYR 159,85 ; MYR 218,50 ;Siemens;Active;0;0
BP0010;Electronic Components;01-0322-0101-017;PETTY CASH;Common;Unit;One Off;Company Site Office;;Biomedical;Yes;1;36; MYR 1,00 ; MYR 500,00 ;Common;Active;0;57
BP0006;Cuffs;01-0203-0301-017;Cuff Connector Male;Bp8800;Unit;Just In Time;Company Site Office;;Biomedical;Yes;5;30; MYR 3,00 ; MYR 6,00 ;COLIN;Active;0;11
BP0001;Batteries/ UPS;01-1909-0101-001;Rechargeable Battery;Top 5100;Unit;Just In Time;Company Site Office;;Biomedical;Yes;2;3; MYR 140,00 ; MYR 168,00 ;Top;Active;0;0
BP0026;Solenoids/ Valves/ Gauges;01-2202-0201-002;Vent. Exhalation Valve Assy;8400;Unit;Just In Time;Company Site Office;;Biomedical;Yes;1;3; MYR 854,00 ; MYR 1.708,00 ;BIRD;Active;0;0
BP0026;Solenoids/ Valves/ Gauges;01-0802-0503-206;VALVE SPRING SET BIC-4008/S V10;Fresenius 4008 NG;Unit;One Off;Company Site Office;;Biomedical;No;5;15; MYR 100,00 ; MYR 300,00 ;Fresenius;Active;;8
BP0005;Casing/ Covers/ Brackets/ Latches/ Part Holders;01-0903-0202-016;Battery Cover Assembly ,TOP 3300;Top 3300;Unit;Just In Time;Company Site Office;;Biomedical;Yes;3;6; MYR 257,15 ; MYR 334,10 ;TOP;Active;0;4
BP0025;Sensors/ Detectors;01-2202-0000-001;Oxygen Sensor;7200;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;1;3; MYR 1.200,00 ; MYR 1.380,00 ;;Active;0;0
BP0025;Sensors/ Detectors;01-0903-0202-001;Drop Sensor TOP 3300 (89T) T6330522;Top 3300;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;2;5; MYR 718,00 ; MYR 825,70 ;Top;Active;0;0
BP0011;Equipment Specific Parts;01-0803-0105-003;900MR858 Electrical Adaptor;Mr850;Unit;Just In Time;Company Site Office;;Biomedical;Yes;3;10; MYR 298,80 ; MYR 343,62 ;Fisher & Paykel;Active;0;2
BP0026;Solenoids/ Valves/ Gauges;01-0802-0503-010;Solenoid Valve (Chamber);;Unit;One Off;Company Site Office;;Biomedical;Yes;1;2; MYR 370,00 ; MYR 425,50 ;Fresenius;Active;0;8
BP0004;Cables/ Lead Wires (or any part of it);01-1604-2601-002;ECG 3 LEAD TRUNK CABLE;IntelliVue MP40;Unit;One Off;Company Site Office;;Biomedical;Yes;5;10; MYR 300,00 ; MYR 500,00 ;Philips;Active;0;10
BP0025;Sensors/ Detectors;01-2202-1103-004;ANASTHESIA;Common;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;5;10; MYR 200,00 ; MYR 275,00 ;Common;Active;0;13
BP0004;Cables/ Lead Wires (or any part of it);01-1604-2604-001;Cable 5 lead ECG trunk M1668A;SureSigns VM4;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;5;10; MYR 500,00 ; MYR 650,00 ;Philips;Active;0;1
BP0025;Sensors/ Detectors;01-0101-0101-045;Oxygen Sensor (OOM102-1);Elite 615;Unit;Just In Time;Company Site Office;;Biomedical;Yes;3;10; MYR 300,00 ; MYR 320,00 ;ULCO;Active;6;0
BP0001;Batteries/ UPS;01-0203-0909-001;Rechargeable Battery 11.1V, Mindray iMEC8;Mindray iMEC8;Unit;One Off;Company Site Office;;Biomedical;No;2;5; MYR 400,00 ; MYR 450,00 ;Mindray;Active;;2
BP0012;Filters;01-0802-0503-001;Diasafe Plus Filter;4008s;Unit;Just In Time;Company Site Office;;Biomedical;No;1;60; MYR 200,00 ; MYR 242,50 ;Fresenius;Active;0;0
BP0023;PPM/ Service/Maintenance/ Repair Kits;01-0802-0503-014;Fresenius 4008S PPM Kit Yearly;4008s;Unit;Just In Time;Company Site Office;;Biomedical;No;1;35; MYR 500,00 ; MYR 530,00 ;FRESENIUS;Active;0;0
BP0003;Bulbs/ Lamps;01-1505-0302-001;Bulb 24 V 150 W, OSRAM;Osram;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;6;20; MYR 6,70 ; MYR 7,60 ;Osram;Active;0;0
BP0006;Cuffs;01-2002-1001-003;Cuff Cylindrical 34 Ats;Common;Unit;One Off;Company Site Office;;Biomedical;No;1;2; MYR 400,00 ; MYR 460,00 ;Common;Active;;0
BP0025;Sensors/ Detectors;01-2203-0601-002;SIPAP MACHINE OXYGEN SENSOR FABIAN OOM204;Fabian;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;12; MYR 450,00 ; MYR 480,00 ;Acutronic;Active;0;0
BP0004;Cables/ Lead Wires (or any part of it);01-0503-0501-002;SCHILLER 10 LEAD ECG CABLE BANANA TYPE;Cardiovit AT-1;Unit;Just In Time;Company Site Office;;Biomedical;No;1;30; MYR 120,00 ; MYR 150,00 ;SCHILLER;Active;0;0
BP0003;Bulbs/ Lamps;01-2404-0101-003;Bulb 12V 100W (64627);Polydoros;Unit;One Off;Company Site Office;;Biomedical;No;3;10; MYR 10,00 ; MYR 11,50 ;Siemens;Active;;9
BP0011;Equipment Specific Parts;01-1619-0200-004;MMS Module;IntelliVue MP70;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;2; MYR 2.700,00 ; MYR 2.800,00 ;;Active;;3
BP0001;Batteries/ UPS;01-0903-0103-005;BATTERY B. BRAUN INFUSOMAT;Infusomat;Unit;One Off;Company Site Office;;Biomedical;No;3;5; MYR 200,00 ; MYR 220,00 ;B.Braun;Active;;0
BP0025;Sensors/ Detectors;01-1603-0102-002;Spo2 Sensor Adult Original DS100A;N-190;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;8;20; MYR 400,00 ; MYR 430,00 ;Nellcor;Active;;6
BP0024;"Printed Circuit Boards (PCB; Other than Power Supply)";01-0503-1103-001;MODULE MONTARA AM-12;Eli 280;Unit;Just In Time;Company Site Office;;Biomedical;No;2;5; MYR 2.000,00 ; MYR 2.300,00 ;;Active;;0
BP0028;Transducers/ Probes;01-0303-0102-001;Ultrasound Tranducer;M1353a;Unit;Just In Time;Centralized;;Biomedical;No;0;1; MYR 1.300,00 ; MYR 1.400,00 ;Hewlett Packard;Active;0;2
BP0004;Cables/ Lead Wires (or any part of it);01-1601-1204-006;ECG TRUNK CABLE PROPAQ LT 3 LEAD;Propaq LT;Unit;One Off;Company Site Office;;Biomedical;No;3;5; MYR 100,00 ; MYR 125,00 ;Welch Allyn;Active;;4
BP0004;Cables/ Lead Wires (or any part of it);01-0102-0104-028;EXTENSION CABLE TRUSIGNAL GE WITH CONNECTOR;Aestiva 5/7100;Unit;One Off;Company Site Office;;Biomedical;No;2;10; MYR 100,00 ; MYR 125,00 ;Datex Ohmeda;Active;;3
BP0026;Solenoids/ Valves/ Gauges;01-2202-0801-006;RELEASE VALVE DIAPHRAGM;Ref-Vent 100-V;Unit;One Off;Company Site Office;;Biomedical;No;3;15; MYR 37,00 ; MYR 40,00 ;ULCO;Active;;15
BP0025;Sensors/ Detectors;01-2203-0601-003;Oxygen Cell OOM102;Fabian;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;5;10; MYR 260,00 ; MYR 280,00 ;Acutronic;Active;;0
BP0003;Bulbs/ Lamps;01-1502-0206-002;LED BULB OPHTHALMOSCOPE;;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;2;5; MYR 600,00 ; MYR 620,00 ;Keeler;Active;;4
BP0019;O-Rings/ Belts/ Seals/ Gaskets/ Washers;01-0207-0101-005;YELLOW BELT;Lactina Electric Plus;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;5; MYR 190,00 ; MYR 195,00 ;;Active;;2
BP0004;Cables/ Lead Wires (or any part of it);01-1601-0103-011;PHILIPS 5 LEAD TRUNK CABLE ECG M1530A;78353a;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;5;15; MYR 125,00 ; MYR 140,00 ;Hewlett Packard;Active;0;4
BP0025;Sensors/ Detectors;01-1601-1301-002;Spo2 finger sensor M1191BL;V24;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;10;30; MYR 10,00 ; MYR 400,00 ;AGILENT;Active;0;0
BP0003;Bulbs/ Lamps;01-1201-0201-001;Bulb Laryngoscope Adult Penlon 55091;Penlon;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;25; MYR 20,00 ; MYR 23,00 ;Penlon;Active;0;17
BP0011;Equipment Specific Parts;01-0909-0200-001;KEYPAD ORALIX;Common;Unit;Just In Time;Company Site Office;;Biomedical;No;5;10; MYR 200,00 ; MYR 250,00 ;Common;Active;;1
BP0028;Transducers/ Probes;01-0303-0201-001;2Mhz Tranducer (Blue);Sonicaid;Unit;Just In Time;Centralized;;Biomedical;No;0;5; MYR 2.000,00 ; MYR 2.300,00 ;Oxford Instrument;Active;0;1
BP0011;Equipment Specific Parts;01-2202-0404-001;Water Trap;;Unit;One Off;Company Site Office;;Biomedical;No;0;10; MYR 10,00 ; MYR 115,00 ;Draeger;Active;;10
BP0002;Blankets/ Mattresses;01-1803-0101-001;HUNTLEGLY RIPPLE MATTRESS;Alphabed;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;20; MYR 500,00 ; MYR 650,00 ;HUNTLEIGH;Active;0;0
BP0004;Cables/ Lead Wires (or any part of it);01-1603-1710-012;SPO2 FINGER SENSOR NIHON KOHDEN;Pvm-2701;Unit;Just In Time;Company Site Office;;Biomedical;No;0;10; MYR 10,00 ; MYR 280,00 ;Nihon Kohden;Active;;7
BP0003;Bulbs/ Lamps;01-1301-0702-002;BULB OSRAM XBOR 300W/60C;;Unit;One Off;Company Site Office;;Biomedical;No;1;2; MYR 10,00 ; MYR 2.950,00 ;Karl Storz;Active;;2
BP0004;Cables/ Lead Wires (or any part of it);01-0503-1102-002;ECG USB Cable;Eli 230;Unit;Just In Time;Company Site Office;;Biomedical;No;0;5; MYR 10,00 ; MYR 1.200,00 ;MORTARA;Active;;2
BP0011;Equipment Specific Parts;01-1502-0207-001;LED BULB 3.5V Opthalmoscope;Keeler Professional;Unit;Just In Time;Company Site Office;;Biomedical;No;5;10; MYR 150,00 ; MYR 170,00 ;Keeler;Active;;1
BP0025;Sensors/ Detectors;01-1603-2701-001;Spo2 Finger Sensor Adult, Trusat;Trusat;Unit;Just In Time;Company Site Office;;Biomedical;No;0;5; MYR 10,00 ; MYR 150,00 ;Ge;Active;;1
BP0014;Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes;01-1803-1800-004;MATRESS SIDE 9MM CONNECTER;Alpha Active 3;Unit;Just In Time;Company Site Office;;Biomedical;No;0;25; MYR 10,00 ; MYR 95,00 ;;Active;;3
BP0013;Heater Elements;01-2305-0101-003;Heater 230-240Vac, 50/60Hz;750;Unit;One Off;Company Site Office;;Biomedical;No;0;15; MYR 10,00 ; MYR 600,00 ;;Active;;0
BP0001;Batteries/ UPS;01-2003-0101-002;BATTERY CR-1/3N;;Unit;One Off;Company Site Office;;Biomedical;No;0;20; MYR 10,00 ; MYR 25,00 ;;Active;;2
BP0004;Cables/ Lead Wires (or any part of it);01-1604-1809-001;SPO2 Extension Cable PN:0010-20-42710 or 562A;Mindray iMEC8;Unit;Just In Time;Company Site Office;;Biomedical;No;1;15; MYR 10,00 ; MYR 120,00 ;;Active;;0
BP0028;Transducers/ Probes;01-0303-0201-002;CARDIOTOCOGRAPH Toco Ultrasound Tranducer (Pink);Common;Unit;Just In Time;Centralized;;Biomedical;No;0;5; MYR 10,00 ; MYR 2.800,00 ;Common;Active;0;3
BP0025;Sensors/ Detectors;01-2202-1701-001;OXYGEN SENSOR;E360;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;5; MYR 10,00 ; MYR 598,00 ;NEWPORT;Active;0;12
BP0011;Equipment Specific Parts;01-2202-1402-003;EXPIRATORY CASSETE;Servo-i;Unit;Just In Time;Company Site Office;;Biomedical;No;2;5; MYR 10,00 ; MYR 6.000,00 ;;Active;;0
BP0003;Bulbs/ Lamps;01-1505-0404-001;SOCKET BULB BLUE 130 MAQUET OT LIGHT;;Unit;One Off;Company Site Office;;Biomedical;No;0;10; MYR 10,00 ; MYR 420,00 ;;Active;;7
BP0025;Sensors/ Detectors;01-0102-0102-003;DATEX OHMEDA (AESTIVA 5) 02 CELL 6050-0004-110;Aestiva 3000;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;1;15; MYR 250,00 ; MYR 390,00 ;;Active;6;3
BP0004;Cables/ Lead Wires (or any part of it);01-0503-0102-021;NIHON KOHDEN Fast Clip Ecg Electrode;6851k;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;50; MYR 10,00 ; MYR 65,00 ;Nihon Kohden;Active;0;6
BP0003;Bulbs/ Lamps;01-1505-0102-001;BULB MAQUET BLUE 22.8V 90W;;Unit;Just In Time;Company Site Office;;Biomedical;No;10;50; MYR 10,00 ; MYR 225,00 ;Hanaulux;Active;;0
BP0025;Sensors/ Detectors;01-1603-2601-001;SPO finger sensor mindray adult 512F;;Unit;Just In Time;Others;Vendor By Purchase Order;Biomedical;No;5;15; MYR 10,00 ; MYR 250,00 ;Mindray;Active;;0
BP0011;Equipment Specific Parts;01-0909-0200-003;Drop sensor,BRAND:ORALIX, MODEL:OR-1500H;Or-1500h;Unit;Just In Time;Company Site Office;;Biomedical;No;1;10; MYR 100,00 ; MYR 360,00 ;;Active;;8
BP0004;Cables/ Lead Wires (or any part of it);01-1603-1706-001;EXTENSION CABLE RC-12;Rainbow Radocare;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;15; MYR 125,00 ; MYR 450,00 ;Masimo;Active;0;0
BP0022;Power Supply Unit (PCB or Module)/ Transfomer;01-2406-0201-032;CHARGERMODULE ASSY;Amx-4;Unit;One Off;Company Site Office;;Biomedical;No;1;2; MYR 9.432,00 ; MYR 10.000,00 ;GE;Active;;0
BP0007;Diaphragms/ Pumps;01-0802-0502-004;Ultrafiltration Pump;4008b;Unit;One Off;Company Site Office;;Biomedical;No;0;2; MYR 2.180,25 ; MYR 2.500,00 ;Fresenius;Active;;0
BP0006;Cuffs;01-2002-0101-003;Cuff Cylindrical 34 Ats;Ats 1500/2000;Unit;One Off;Company Site Office;;Biomedical;No;0;5; MYR 460,00 ; MYR 500,00 ;Zimmer;Active;;0
BP0006;Cuffs;01-2002-0101-002;Cuff Cylindrical 24 Ats;Ats 1500/2000;Unit;One Off;Company Site Office;;Biomedical;No;0;5; MYR 460,00 ; MYR 600,00 ;Zimmer;Active;;2
BP0004;Cables/ Lead Wires (or any part of it);01-1601-1705-001;6 lead wire for telemetri transmitter for ge apex PRO part no:421930-001;Apex Pro;Unit;Just In Time;Company Site Office;;Biomedical;No;0;20; MYR 125,00 ; MYR 200,00 ;Ge;Active;;3
BP0025;Sensors/ Detectors;01-0803-0105-007;Temperature Probe 900MR860;;Unit;Fast Moving Item;Company Site Office;;Biomedical;No;1;5; MYR 789,00 ; MYR 850,00 ;Fisher & Paykel;Active;;4
BP0001;Batteries/ UPS;01-0903-0303-005;Rechargeable Battery (TE-112);Te-112;Unit;One Off;Company Site Office;;Biomedical;No;0;5; MYR 130,00 ; MYR 200,00 ;Terumo;Active;;4
BP0004;Cables/ Lead Wires (or any part of it);01-1603-1708-002;Extension Cable PC-8;Radical;Unit;Just In Time;Company Site Office;;Biomedical;No;0;10; MYR 730,00 ; MYR 800,00 ;Masimo;Active;;5
BP0001;Batteries/ UPS;01-0401-1003-001;Battery LI-ion 14.8V 6.6Ah 98Wh (for Heartstart XL+);HeartStart XL+;Unit;Just In Time;Company Site Office;;Biomedical;No;0;2; MYR 1.850,00 ; MYR 2.000,00 ;PHILIPS;Active;;0
BP0012;Filters;01-1805-0101-004;Black Carbon Filter;Waterman 11;Unit;One Off;Company Site Office;;Biomedical;No;0;10; MYR 8,00 ; MYR 9,60 ;Waterman;Active;;1
BP0012;Filters;01-1805-0101-002;Cotton Filter-10 Inch;Waterman 11;Unit;One Off;Company Site Office;;Biomedical;No;0;10; MYR 5,00 ; MYR 10,00 ;Waterman;Active;;9
BP0011;Equipment Specific Parts;01-0903-0207-002;PLUNGER CLAMP ASSY;Top 5500;Unit;One Off;Company Site Office;;Biomedical;No;0;20; MYR 140,00 ; MYR 200,00 ;TOP;Active;;2
BP0025;Sensors/ Detectors;01-1603-2601-002;Extension finger sensor Mindray PM-60 DB9;;Unit;Just In Time;Company Site Office;;Biomedical;No;1;5; MYR 203,00 ; MYR 215,00 ;Mindray;Active;;2
